"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cblb",3.00353212714007e-116,2.80287109608656,0.871,0.633,4.95192341801584e-112,"Activated B Cells","Cblb"
"Pde3b",4.56165933601545e-115,3.52068588320344,0.794,0.296,7.52080774728867e-111,"Activated B Cells","Pde3b"
"Satb1",2.3493915403344e-114,3.52900844949605,0.837,0.522,3.87344183254932e-110,"Activated B Cells","Satb1"
"Shisa5",6.55486626406545e-113,2.19152501381601,0.853,0.586,1.08070080095647e-108,"Activated B Cells","Shisa5"
"Csnk1g3",2.4663412274387e-112,2.33642577513432,0.864,0.623,4.06625678167819e-108,"Activated B Cells","Csnk1g3"
"Dgkd",5.0973992791455e-111,2.09858201640563,0.901,0.687,8.40408219152719e-107,"Activated B Cells","Dgkd"
"Elmo1",3.65714407982189e-110,1.50750351339526,0.961,0.877,6.02953344440235e-106,"Activated B Cells","Elmo1"
"Txndc16",6.2454982913304e-104,3.32135406707403,0.759,0.362,1.02969530329164e-99,"Activated B Cells","Txndc16"
"Rel",5.51652462829909e-98,1.98319418271579,0.9,0.756,9.09509415467671e-94,"Activated B Cells","Rel"
"Cd86",5.65992865911597e-98,4.34399561786824,0.701,0.222,9.3315243802845e-94,"Activated B Cells","Cd86"
"Gm43603",6.578440341431e-98,5.88097786817247,0.612,0.037,1.08458745909173e-93,"Activated B Cells","Gm43603"
"Cd52",2.98530787069595e-97,1.80645276409645,0.881,0.749,4.92187708641641e-93,"Activated B Cells","Cd52"
"Camk2d",3.09664858771525e-97,2.33697972763199,0.816,0.502,5.10544452656613e-93,"Activated B Cells","Camk2d"
"Sh3bp5",3.74148564596269e-97,4.80496996194683,0.631,0.067,6.16858738449869e-93,"Activated B Cells","Sh3bp5"
"Add3",1.33486435378039e-96,2.97942841576873,0.744,0.303,2.20079086007773e-92,"Activated B Cells","Add3"
"D930015E06Rik",5.70555422219875e-96,2.37325842116051,0.799,0.433,9.40674724613908e-92,"Activated B Cells","D930015E06Rik"
"Cxcr5",7.39913584493119e-96,4.86868095350946,0.618,0.042,1.21989552675381e-91,"Activated B Cells","Cxcr5"
"Wdfy4",5.34559267621123e-95,1.95381766799448,0.837,0.653,8.81327864526946e-91,"Activated B Cells","Wdfy4"
"Atp2b1",3.0098317448314e-94,2.40433836468503,0.805,0.52,4.96230959770353e-90,"Activated B Cells","Atp2b1"
"Smg1",6.33911953896643e-93,1.82109288889428,0.894,0.8,1.0451306383894e-88,"Activated B Cells","Smg1"
"Bcar3",4.03900095528653e-92,2.73979484830525,0.742,0.286,6.6591008749809e-88,"Activated B Cells","Bcar3"
"Dennd5b",6.84010640641118e-91,4.00569518550817,0.654,0.148,1.12772834322501e-86,"Activated B Cells","Dennd5b"
"Ccnd3",9.9810886509218e-88,2.09441515067876,0.859,0.712,1.64558208587748e-83,"Activated B Cells","Ccnd3"
"Ccr7",3.20823469886325e-87,5.13404067329327,0.592,0.069,5.28941654801585e-83,"Activated B Cells","Ccr7"
"Arap2",1.52739209747746e-86,2.98904625654321,0.743,0.429,2.51821135111108e-82,"Activated B Cells","Arap2"
"Tmsb10",5.5094496884662e-85,1.344216029982,0.917,0.857,9.08342970137422e-81,"Activated B Cells","Tmsb10"
"Fcrl1",2.49530723574543e-84,5.74937291457784,0.562,0.039,4.11401303957349e-80,"Activated B Cells","Fcrl1"
"Fam107b",3.07317013971392e-84,1.72524709783842,0.913,0.808,5.06673560934635e-80,"Activated B Cells","Fam107b"
"Immp2l",3.64397627527986e-84,2.01448355198694,0.861,0.631,6.0078236850539e-80,"Activated B Cells","Immp2l"
"Ppp3cc",2.72834475266285e-83,3.66132095723334,0.638,0.177,4.49822199371525e-79,"Activated B Cells","Ppp3cc"
"Lmbrd1",5.17287712344819e-83,2.43263428175802,0.751,0.466,8.52852251342904e-79,"Activated B Cells","Lmbrd1"
"Swap70",1.02206687270847e-82,3.82077373241022,0.632,0.167,1.68508165303445e-78,"Activated B Cells","Swap70"
"Akt3",1.62743659799065e-81,1.98921448965546,0.849,0.667,2.68315471910718e-77,"Activated B Cells","Akt3"
"Kcnq5",2.01343518643653e-80,2.5173688540415,0.695,0.2,3.31955059187791e-76,"Activated B Cells","Kcnq5"
"H3f3a",7.82906735331167e-80,0.952626283500958,0.966,0.966,1.2907783345405e-75,"Activated B Cells","H3f3a"
"Blk",5.08021678233735e-79,2.79459293269662,0.677,0.241,8.37575340903959e-75,"Activated B Cells","Blk"
"A630001G21Rik",8.63906163684878e-79,3.14443963209483,0.645,0.229,1.42432209206726e-74,"Activated B Cells","A630001G21Rik"
"Gramd3",9.5004096121499e-79,3.43751554957907,0.628,0.167,1.56633253275515e-74,"Activated B Cells","Gramd3"
"Gm8369",1.06025726417128e-78,5.22989103323937,0.547,0.042,1.7480461514392e-74,"Activated B Cells","Gm8369"
"A430078G23Rik",1.62508242507888e-78,5.01320388121682,0.553,0.054,2.67927339422755e-74,"Activated B Cells","A430078G23Rik"
"Ppp3ca",3.15380648765423e-78,1.38411619077711,0.933,0.889,5.19968075619553e-74,"Activated B Cells","Ppp3ca"
"Fchsd2",4.97570538115207e-78,2.6694085954355,0.817,0.623,8.20344546190541e-74,"Activated B Cells","Fchsd2"
"Cd19",5.31172413241493e-77,4.77413013773281,0.543,0.044,8.7574395771125e-73,"Activated B Cells","Cd19"
"Cyth1",1.29351082250223e-76,1.5747935857163,0.924,0.823,2.13261129305943e-72,"Activated B Cells","Cyth1"
"Snx8",2.1900681209203e-76,5.29847373027758,0.534,0.039,3.6107653109613e-72,"Activated B Cells","Snx8"
"H2-Ob",8.69973695178284e-76,4.93618617579176,0.542,0.059,1.43432563124044e-71,"Activated B Cells","H2-Ob"
"Cd22",9.39928435760901e-76,4.61775281992708,0.541,0.049,1.549660012039e-71,"Activated B Cells","Cd22"
"Pou2f2",2.25803138196522e-75,2.49706978868897,0.711,0.377,3.72281633944606e-71,"Activated B Cells","Pou2f2"
"Pde4b",4.96466412596209e-75,1.71079660488947,0.797,0.397,8.1852417444737e-71,"Activated B Cells","Pde4b"
"Gm15987",7.70114850787061e-75,4.70149626040445,0.547,0.062,1.26968835449263e-70,"Activated B Cells","Gm15987"
"B3gnt5",8.81590166789195e-75,5.45410144129046,0.525,0.037,1.45347770798535e-70,"Activated B Cells","B3gnt5"
"Pgap1",1.17069858473621e-74,4.77563914351369,0.556,0.084,1.93013075665459e-70,"Activated B Cells","Pgap1"
"Phtf2",1.44130291159643e-74,2.72136285476626,0.702,0.379,2.37627611034903e-70,"Activated B Cells","Phtf2"
"Nsf",2.22288000989852e-74,2.137265882821,0.799,0.667,3.66486227231968e-70,"Activated B Cells","Nsf"
"Pxk",4.60783758495874e-74,3.07553672470444,0.646,0.259,7.59694182632147e-70,"Activated B Cells","Pxk"
"Tnfrsf13c",2.84335768152859e-72,3.87037987703947,0.562,0.108,4.68784380953619e-68,"Activated B Cells","Tnfrsf13c"
"Rpl12",3.4984205537134e-72,0.951615664289579,0.934,0.926,5.76784596690729e-68,"Activated B Cells","Rpl12"
"Cr2",1.54636880301951e-71,6.11957041309382,0.502,0.022,2.54949824553826e-67,"Activated B Cells","Cr2"
"Setbp1",2.17305317656365e-69,1.50870622477533,0.895,0.729,3.58271277220048e-65,"Activated B Cells","Setbp1"
"Dip2b",2.87074097407165e-69,1.7244447471418,0.862,0.776,4.73299064395192e-65,"Activated B Cells","Dip2b"
"Fcer2a",4.64756616354577e-69,5.1465987074321,0.499,0.03,7.66244233383791e-65,"Activated B Cells","Fcer2a"
"Pag1",4.69663685074233e-69,1.83963902933563,0.836,0.702,7.74334517581888e-65,"Activated B Cells","Pag1"
"Abca1",5.60065584740563e-69,4.602053031838,0.514,0.057,9.23380129561766e-65,"Activated B Cells","Abca1"
"Cd2",1.1471315602513e-67,3.84902613471459,0.532,0.076,1.89127580338631e-63,"Activated B Cells","Cd2"
"Ankrd44",1.2079763675525e-67,1.11538504131098,0.933,0.884,1.99159063718381e-63,"Activated B Cells","Ankrd44"
"Smchd1",1.41805001552695e-67,1.96922946197508,0.808,0.645,2.33793906059928e-63,"Activated B Cells","Smchd1"
"Rpsa",4.67652829066498e-67,0.968092509007808,0.943,0.961,7.71019219281936e-63,"Activated B Cells","Rpsa"
"Arhgef18",1.42995024662513e-66,4.30766709098532,0.538,0.111,2.35755897161085e-62,"Activated B Cells","Arhgef18"
"Aff1",2.91346197727335e-66,1.68572125487677,0.847,0.727,4.80342476193057e-62,"Activated B Cells","Aff1"
"St6gal1",4.2399835040892e-66,2.35402963926844,0.733,0.431,6.99046080319187e-62,"Activated B Cells","St6gal1"
"Bcl2",6.9430503841174e-66,3.80745364525294,0.555,0.126,1.14470071682944e-61,"Activated B Cells","Bcl2"
"Gm16341",1.52462482217029e-65,5.43502790740052,0.493,0.052,2.51364894431216e-61,"Activated B Cells","Gm16341"
"Smap2",5.29323681408962e-64,1.80987134301462,0.786,0.633,8.72695953538956e-60,"Activated B Cells","Smap2"
"Rapgef6",7.4626174605411e-64,1.28602519825704,0.901,0.837,1.23036174071941e-59,"Activated B Cells","Rapgef6"
"Kdm7a",8.0621326008617e-63,2.21767068746015,0.725,0.493,1.32920380190407e-58,"Activated B Cells","Kdm7a"
"Zdhhc18",1.23400347626428e-62,2.51023562356466,0.647,0.315,2.03450153131693e-58,"Activated B Cells","Zdhhc18"
"Rps27",2.02079007790703e-62,0.656449736928184,0.945,0.97,3.33167660144532e-58,"Activated B Cells","Rps27"
"Rps21",3.33335241943958e-62,0.737658843493151,0.944,0.968,5.49569813393004e-58,"Activated B Cells","Rps21"
"Inpp4b",9.17681604866173e-62,1.17380955211035,0.963,0.943,1.51298166194286e-57,"Activated B Cells","Inpp4b"
"Snx2",1.51112517287385e-60,2.08364515272787,0.709,0.517,2.49139207251712e-56,"Activated B Cells","Snx2"
"Rps15",5.95699394337256e-60,0.802517390864873,0.936,0.938,9.82129591443834e-56,"Activated B Cells","Rps15"
"Stap1",1.5050172890113e-59,2.17353318333574,0.674,0.389,2.48132200439293e-55,"Activated B Cells","Stap1"
"Tank",1.94099108734415e-59,2.77450330269537,0.639,0.35,3.2001120057043e-55,"Activated B Cells","Tank"
"Slamf6",5.33637250323452e-59,3.01303707064733,0.595,0.271,8.79807734608276e-55,"Activated B Cells","Slamf6"
"Malt1",9.82358585238239e-59,1.80521432879436,0.814,0.69,1.61961459948229e-54,"Activated B Cells","Malt1"
"Itpr2",3.68412493488507e-58,1.58986582496894,0.787,0.685,6.07401678014502e-54,"Activated B Cells","Itpr2"
"Dock11",7.41176365986262e-57,1.47686212022194,0.82,0.692,1.22197747460155e-52,"Activated B Cells","Dock11"
"Ablim1",1.69715126968486e-56,1.34965860418308,0.832,0.685,2.79809329832942e-52,"Activated B Cells","Ablim1"
"Foxo1",2.38177460274732e-56,2.0093999848373,0.754,0.569,3.9268317875495e-52,"Activated B Cells","Foxo1"
"Plekha2",1.04639289838521e-55,1.59497538192705,0.816,0.68,1.7251879715677e-51,"Activated B Cells","Plekha2"
"Rasgrp3",1.27943380484935e-54,4.65626878450829,0.451,0.059,2.10940251405512e-50,"Activated B Cells","Rasgrp3"
"Chst3",5.55204737721985e-54,3.74868223662084,0.519,0.172,9.15366051082237e-50,"Activated B Cells","Chst3"
"S1pr1",6.68283712308479e-54,4.44926307236614,0.441,0.047,1.10179935648299e-49,"Activated B Cells","S1pr1"
"Gm42418",7.25984512472935e-54,0.834227083264439,0.99,0.99,1.19693066571413e-49,"Activated B Cells","Gm42418"
"Gm26740",8.33160699564539e-54,2.11825671080376,0.701,0.475,1.37363204537206e-49,"Activated B Cells","Gm26740"
"Cux1",2.16439316672497e-53,1.71709385208159,0.789,0.68,3.56843501397947e-49,"Activated B Cells","Cux1"
"Sorl1",8.33683433536646e-53,1.54507726543818,0.843,0.778,1.37449387687187e-48,"Activated B Cells","Sorl1"
"Rassf3",1.04089138593732e-52,1.48637771016929,0.836,0.754,1.71611762799486e-48,"Activated B Cells","Rassf3"
"Tmem243",1.86625565191121e-52,2.42886968905181,0.594,0.298,3.07689569330602e-48,"Activated B Cells","Tmem243"
"Sptbn1",4.69589402312663e-52,2.393546777157,0.605,0.325,7.74212047592888e-48,"Activated B Cells","Sptbn1"
"Itsn2",2.61691950668749e-51,1.21933213186866,0.856,0.808,4.31451519067566e-47,"Activated B Cells","Itsn2"
"Hmha1",7.94593690341388e-51,1.30236772137705,0.786,0.685,1.31004661726585e-46,"Activated B Cells","Hmha1"
"Zfp318",8.10898050770216e-51,3.63717312545658,0.5,0.16,1.33692761630486e-46,"Activated B Cells","Zfp318"
"4933406I18Rik",9.87004210465896e-51,3.57624681667997,0.48,0.108,1.62727384179512e-46,"Activated B Cells","4933406I18Rik"
"Rps29",1.46312455287792e-50,0.505882328144094,0.956,0.97,2.41225345032982e-46,"Activated B Cells","Rps29"
"Cnr2",1.56118652138549e-49,4.70948942766161,0.415,0.044,2.57392821780826e-45,"Activated B Cells","Cnr2"
"Jak1",4.15256576205233e-49,0.789209483545534,0.864,0.823,6.84633517189567e-45,"Activated B Cells","Jak1"
"Fam49b",6.1946519413951e-49,1.01812084798813,0.9,0.877,1.02131226557781e-44,"Activated B Cells","Fam49b"
"Cd40",6.32374489619143e-49,5.09393471293533,0.405,0.039,1.04259582103508e-44,"Activated B Cells","Cd40"
"Ltb",7.47861627931331e-49,1.29405354681338,0.641,0.308,1.23299946597039e-44,"Activated B Cells","Ltb"
"Pde7a",1.02616408450544e-48,1.32556115623659,0.884,0.815,1.69183672612412e-44,"Activated B Cells","Pde7a"
"Gimap3",2.96871236287458e-48,4.42588043201574,0.408,0.044,4.89451607267132e-44,"Activated B Cells","Gimap3"
"Ddx6",4.08104911163582e-48,1.10335992670539,0.87,0.84,6.72842567035397e-44,"Activated B Cells","Ddx6"
"Cd37",5.38943766008243e-48,1.40696701280782,0.743,0.687,8.88556587017791e-44,"Activated B Cells","Cd37"
"Dmxl1",9.25700394669876e-48,1.63937594234297,0.885,0.835,1.52620224069223e-43,"Activated B Cells","Dmxl1"
"Rasgef1b",1.12019935845325e-47,2.93055931325152,0.499,0.145,1.84687268228188e-43,"Activated B Cells","Rasgef1b"
"Zhx2",2.88847885761268e-47,1.92607393154198,0.656,0.431,4.76223509254603e-43,"Activated B Cells","Zhx2"
"Gimap8",4.00489541743791e-47,4.92519681792367,0.398,0.044,6.60287107472988e-43,"Activated B Cells","Gimap8"
"Arid1b",5.24438120824358e-47,1.11570316829351,0.885,0.857,8.6464112980312e-43,"Activated B Cells","Arid1b"
"Sgms1",5.34518175862856e-47,1.67155611664839,0.759,0.623,8.81260116545091e-43,"Activated B Cells","Sgms1"
"Stat4",7.71988657859595e-47,2.53254165910869,0.563,0.239,1.27277770021311e-42,"Activated B Cells","Stat4"
"Ezr",3.17228966426349e-46,1.5229334405802,0.76,0.658,5.23015396947122e-42,"Activated B Cells","Ezr"
"Rap1gds1",3.61438259317382e-46,2.36570027173697,0.595,0.323,5.95903258136568e-42,"Activated B Cells","Rap1gds1"
"Phlpp1",7.72667257861824e-46,1.74426205200339,0.776,0.672,1.27389650803679e-41,"Activated B Cells","Phlpp1"
"Snx25",1.25910275062832e-45,2.71955518341227,0.501,0.17,2.07588270496091e-41,"Activated B Cells","Snx25"
"Fam111a",1.79566555441159e-45,3.43146432944444,0.43,0.081,2.9605137995584e-41,"Activated B Cells","Fam111a"
"Fbxo11",9.38887612171238e-45,1.36620952975116,0.877,0.835,1.54794400618672e-40,"Activated B Cells","Fbxo11"
"Fli1",1.87201822094484e-44,1.25736068912698,0.873,0.82,3.08639644087175e-40,"Activated B Cells","Fli1"
"Mef2c",2.94372619695279e-44,0.989389668203712,0.969,0.872,4.85332138091606e-40,"Activated B Cells","Mef2c"
"Irf2",3.67296865332356e-44,1.51272502955658,0.748,0.631,6.05562341873455e-40,"Activated B Cells","Irf2"
"Baz2b",8.73665495981913e-44,0.940179704317286,0.918,0.901,1.44041230322538e-39,"Activated B Cells","Baz2b"
"Rps24",1.02463390178263e-43,0.513654838530035,0.96,0.978,1.68931391386902e-39,"Activated B Cells","Rps24"
"Cd81",1.02746283573964e-43,4.92140954169676,0.372,0.034,1.69397797728395e-39,"Activated B Cells","Cd81"
"Nedd9",1.56702568139369e-43,0.465139526630143,0.889,0.837,2.58355524091377e-39,"Activated B Cells","Nedd9"
"Dock2",1.63266542658062e-43,0.661445849217892,0.984,0.978,2.69177548880346e-39,"Activated B Cells","Dock2"
"Rps5",2.31940395363715e-43,0.694217092901963,0.931,0.958,3.82400129836156e-39,"Activated B Cells","Rps5"
"Mtss1",2.4671603333333e-43,1.33844069536489,0.812,0.727,4.06760724156661e-39,"Activated B Cells","Mtss1"
"Foxn3",5.9438481977093e-43,1.31707038901595,0.807,0.727,9.79962252356333e-39,"Activated B Cells","Foxn3"
"Rps15a",5.96394604522961e-43,0.590349480255186,0.939,0.961,9.83275784477006e-39,"Activated B Cells","Rps15a"
"Rpl13",6.46434132448985e-43,0.71046488357602,0.939,0.97,1.06577595416864e-38,"Activated B Cells","Rpl13"
"Rpl17",1.40934537359808e-42,0.609570124912017,0.939,0.966,2.32358771745115e-38,"Activated B Cells","Rpl17"
"Rpl27a",3.19400350234681e-42,0.599657980342834,0.945,0.97,5.26595357431919e-38,"Activated B Cells","Rpl27a"
"Rps7",4.52856852164236e-42,0.742624967171853,0.925,0.961,7.46625092163176e-38,"Activated B Cells","Rps7"
"Rpl37a",6.47613703644561e-42,0.518680802980443,0.952,0.98,1.06772071319879e-37,"Activated B Cells","Rpl37a"
"Sipa1l1",8.5169463579893e-42,1.28659531643515,0.77,0.685,1.4041889460417e-37,"Activated B Cells","Sipa1l1"
"Ero1lb",1.42744656899745e-41,1.27283775291902,0.814,0.756,2.35343115830609e-37,"Activated B Cells","Ero1lb"
"Rnf145",1.44682854213262e-41,2.57905419654341,0.538,0.273,2.38538621741406e-37,"Activated B Cells","Rnf145"
"Msn",1.4957203866994e-41,1.04322735748905,0.826,0.823,2.4659942015513e-37,"Activated B Cells","Msn"
"Tgfbr2",4.70528460701466e-41,1.15649035495916,0.824,0.744,7.75760273158507e-37,"Activated B Cells","Tgfbr2"
"Macf1",5.13889147303091e-41,0.904278641715798,0.928,0.882,8.47249037158607e-37,"Activated B Cells","Macf1"
"Heg1",1.10853850560282e-40,2.06483185209038,0.623,0.401,1.82764743418737e-36,"Activated B Cells","Heg1"
"Trim7",2.33481116821565e-40,4.64569527011292,0.371,0.054,3.84940317303715e-36,"Activated B Cells","Trim7"
"Lnx2",2.98279276276434e-40,3.48614165698685,0.429,0.121,4.91773042796957e-36,"Activated B Cells","Lnx2"
"Nap1l1",3.57629839881462e-40,1.54086572170615,0.678,0.599,5.89624317012567e-36,"Activated B Cells","Nap1l1"
"Syk",3.78791173378756e-40,0.993826673948169,0.93,0.857,6.24513007549555e-36,"Activated B Cells","Syk"
"Dennd4a",6.2464015239596e-40,0.782951852613467,0.963,0.929,1.02984421925522e-35,"Activated B Cells","Dennd4a"
"Ptpn22",6.70004171321361e-40,3.86596412053664,0.38,0.057,1.10463587725753e-35,"Activated B Cells","Ptpn22"
"Aff4",6.79455807651256e-40,1.3584323338448,0.809,0.761,1.12021879007463e-35,"Activated B Cells","Aff4"
"Rpl22",9.00260197294603e-40,0.719675607840305,0.9,0.921,1.48425898727961e-35,"Activated B Cells","Rpl22"
"Gm15675",2.57069001498687e-39,5.4596023865969,0.338,0.025,4.23829662770886e-35,"Activated B Cells","Gm15675"
"Jarid2",2.69781146949594e-39,1.54507445432725,0.808,0.751,4.44788176975796e-35,"Activated B Cells","Jarid2"
"Fau",4.00551836063752e-39,0.451154480464954,0.942,0.975,6.60389812118307e-35,"Activated B Cells","Fau"
"Fry",4.68741855244166e-39,2.01807316227157,0.572,0.286,7.72814696741056e-35,"Activated B Cells","Fry"
"Arid5b",4.69099461772212e-39,1.51370570728321,0.724,0.544,7.73404282623845e-35,"Activated B Cells","Arid5b"
"Traf5",4.93730018695075e-39,3.41134426222789,0.434,0.143,8.14012681822571e-35,"Activated B Cells","Traf5"
"Herc4",6.49709293494211e-39,1.55688299342423,0.71,0.594,1.07117571218391e-34,"Activated B Cells","Herc4"
"Ccr6",1.20556618043441e-38,3.78185010828364,0.384,0.074,1.98761696168222e-34,"Activated B Cells","Ccr6"
"Birc3",1.89262342060629e-38,0.877380386593654,0.841,0.768,3.12036823355359e-34,"Activated B Cells","Birc3"
"Tcp11l2",2.92300488948877e-38,2.12008218431704,0.569,0.325,4.81915816130014e-34,"Activated B Cells","Tcp11l2"
"Ccm2",4.66896114807228e-38,1.65981733663179,0.699,0.579,7.69771624482678e-34,"Activated B Cells","Ccm2"
"Slc9a7",5.75095620642187e-38,1.85690516258414,0.672,0.532,9.48160149752773e-34,"Activated B Cells","Slc9a7"
"Dusp2",8.1028576970763e-38,2.75266662628825,0.441,0.138,1.33591814851697e-33,"Activated B Cells","Dusp2"
"Aff3",1.36310800544768e-37,0.651775319293519,0.986,0.869,2.24735616858159e-33,"Activated B Cells","Aff3"
"Siglecg",2.04752598094508e-37,2.5182776323058,0.499,0.244,3.37575608478415e-33,"Activated B Cells","Siglecg"
"Kras",2.83555063251949e-37,1.27042443102904,0.791,0.724,4.67497232783489e-33,"Activated B Cells","Kras"
"Mlxip",3.25920527837723e-37,1.6606501900744,0.686,0.532,5.37345174246053e-33,"Activated B Cells","Mlxip"
"Iqsec1",4.84852526489158e-37,2.11601389447616,0.516,0.249,7.99376360422674e-33,"Activated B Cells","Iqsec1"
"Rasgrp1",1.11577198145885e-36,3.98122524157196,0.353,0.052,1.83957326583121e-32,"Activated B Cells","Rasgrp1"
"St6galnac3",1.22791278351562e-36,2.39610245661562,0.409,0.089,2.02445980618221e-32,"Activated B Cells","St6galnac3"
"Traf3ip3",1.28164375766055e-36,2.39440000222902,0.516,0.278,2.11304606325494e-32,"Activated B Cells","Traf3ip3"
"Arhgef3",2.95971075956517e-36,1.46896724468881,0.66,0.436,4.8796751292951e-32,"Activated B Cells","Arhgef3"
"Cnot6l",4.06069311690396e-36,1.25963810682272,0.812,0.776,6.69486474183956e-32,"Activated B Cells","Cnot6l"
"Ptbp3",6.02123278779035e-36,0.903309812549067,0.863,0.857,9.92720649722995e-32,"Activated B Cells","Ptbp3"
"March1",7.18838552157125e-36,2.42178535511257,0.589,0.411,1.18514912094145e-31,"Activated B Cells","March1"
"Rassf2",7.37552167448305e-36,2.67789155270015,0.437,0.15,1.21600225847202e-31,"Activated B Cells","Rassf2"
"Rpl8",3.50061534875584e-35,0.57088532272271,0.934,0.97,5.77146452549375e-31,"Activated B Cells","Rpl8"
"Smc6",8.03848793029148e-35,0.909069150164674,0.955,0.865,1.32530550506716e-30,"Activated B Cells","Smc6"
"Gga2",1.63889462061854e-34,3.06871669846709,0.411,0.138,2.70204556101378e-30,"Activated B Cells","Gga2"
"Cd24a",1.6968503792961e-34,2.28876647807032,0.48,0.212,2.79759722034549e-30,"Activated B Cells","Cd24a"
